panel	source_file	record_type	iteration	day1_rho	day7_rho	day14_rho	mean_rho	min_rho	transition_rho	same_transition_programs	statistic	real_value	null_mean	null_q95	empirical_one_sided_p	null_percentile	permutations	deleted_from	deleted_participant	all_days_positive
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	88.0	0.5	0.464285714285714	0.785714285714286	0.583333333333333	0.464285714285714	0.821428571428571	4.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	89.0	0.714285714285714	0.0	0.428571428571429	0.380952380952381	0.0	0.571428571428571	5.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	90.0	0.535714285714286	0.714285714285714	0.607142857142857	0.619047619047619	0.535714285714286	0.857142857142857	6.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	91.0	0.857142857142857	-0.0714285714285714	0.857142857142857	0.547619047619048	-0.0714285714285714	0.928571428571429	5.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	92.0	0.821428571428571	0.75	0.321428571428571	0.630952380952381	0.321428571428571	0.642857142857143	5.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	93.0	0.678571428571429	0.678571428571429	0.285714285714286	0.547619047619048	0.285714285714286	0.964285714285714	6.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	94.0	0.678571428571429	0.75	0.214285714285714	0.547619047619048	0.214285714285714	0.285714285714286	4.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	95.0	0.857142857142857	0.392857142857143	0.214285714285714	0.488095238095238	0.214285714285714	0.678571428571429	4.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	96.0	0.857142857142857	0.75	0.25	0.619047619047619	0.25	0.892857142857143	7.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	97.0	0.678571428571429	0.5	0.428571428571429	0.535714285714286	0.428571428571429	0.785714285714286	7.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	98.0	0.821428571428571	0.25	-0.25	0.273809523809524	-0.25	0.571428571428571	5.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	99.0	0.607142857142857	-0.142857142857143	-0.0357142857142857	0.142857142857143	-0.142857142857143	0.964285714285714	6.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	100.0	0.892857142857143	0.142857142857143	0.714285714285714	0.583333333333333	0.142857142857143	0.785714285714286	6.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	101.0	0.464285714285714	0.25	0.571428571428571	0.428571428571429	0.25	0.785714285714286	3.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	102.0	0.928571428571429	0.75	0.107142857142857	0.595238095238095	0.107142857142857	0.642857142857143	4.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	103.0	0.428571428571429	0.642857142857143	0.642857142857143	0.571428571428572	0.428571428571429	0.821428571428571	5.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	104.0	0.535714285714286	0.392857142857143	0.75	0.55952380952381	0.392857142857143	0.75	6.0										
