program	gene_symbol
collagen_organization	SELENON
collagen_organization	SERPINF2
collagen_organization	SERPINH1
collagen_organization	SFRP2
collagen_organization	TGFB2
collagen_organization	TGFBR1
collagen_organization	TLL1
collagen_organization	TLL2
collagen_organization	TNXB
collagen_organization	VIPAS39
collagen_organization	VPS33B
proliferation	AK2
proliferation	ANP32E
proliferation	ASF1A
proliferation	ASF1B
proliferation	ATAD2
proliferation	AURKA
proliferation	AURKB
proliferation	BARD1
proliferation	BIRC5
proliferation	BRCA1
proliferation	BRCA2
proliferation	BRMS1L
proliferation	BUB1B
proliferation	CBX5
proliferation	CCNB2
proliferation	CCNE1
proliferation	CCP110
proliferation	CDC20
proliferation	CDC25A
proliferation	CDC25B
proliferation	CDCA3
proliferation	CDCA8
proliferation	CDK1
proliferation	CDK4
proliferation	CDKN1A
proliferation	CDKN1B
proliferation	CDKN2A
proliferation	CDKN2C
proliferation	CDKN3
proliferation	CENPE
proliferation	CENPM
proliferation	CHEK1
proliferation	CHEK2
proliferation	CIT
proliferation	CKS1B
proliferation	CKS2
proliferation	CNOT9
proliferation	CSE1L
proliferation	CTCF
proliferation	CTPS1
proliferation	DCK
proliferation	DCLRE1B
proliferation	DCTPP1
proliferation	DDX39A
proliferation	DEK
proliferation	DEPDC1
proliferation	DIAPH3
proliferation	DLGAP5
proliferation	DNMT1
proliferation	DONSON
proliferation	DSCC1
proliferation	DUT
proliferation	E2F8
proliferation	EED
proliferation	EIF2S1
proliferation	ESPL1
proliferation	EXOSC8
proliferation	EZH2
proliferation	GINS1
proliferation	GINS3
proliferation	GINS4
proliferation	GSPT1
proliferation	H2AX
proliferation	H2AZ1
proliferation	HELLS
proliferation	HMGA1
proliferation	HMGB2
proliferation	HMGB3
proliferation	HMMR
proliferation	HNRNPD
proliferation	HUS1
proliferation	ILF3
proliferation	ING3
proliferation	IPO7
proliferation	JPT1
proliferation	KIF18B
proliferation	KIF22
proliferation	KIF2C
proliferation	KIF4A
proliferation	KPNA2
proliferation	LBR
proliferation	LIG1
proliferation	LMNB1
proliferation	LUC7L3
proliferation	LYAR
proliferation	MAD2L1
proliferation	MCM2
proliferation	MCM3
proliferation	MCM4
proliferation	MCM5
proliferation	MCM6
proliferation	MCM7
proliferation	MELK
proliferation	MKI67
proliferation	MLH1
proliferation	MMS22L
proliferation	MRE11
proliferation	MSH2
proliferation	MTHFD2
proliferation	MXD3
proliferation	MYBL2
proliferation	MYC
proliferation	NAA38
proliferation	NAP1L1
proliferation	NASP
proliferation	NBN
proliferation	NCAPD2
proliferation	NME1
proliferation	NOLC1
proliferation	NOP56
proliferation	NUDT21
proliferation	NUP107
proliferation	NUP153
proliferation	NUP205
proliferation	ORC2
proliferation	ORC6
proliferation	PA2G4
proliferation	PAICS
proliferation	PAN2
proliferation	PCNA
proliferation	PDS5B
proliferation	PHF5A
proliferation	PLK1
proliferation	PLK4
proliferation	PMS2
proliferation	PNN
proliferation	POLA2
proliferation	POLD1
proliferation	POLD2
proliferation	POLD3
proliferation	POLE
proliferation	POLE4
proliferation	POP7
proliferation	PPM1D
proliferation	PPP1R8
proliferation	PRDX4
proliferation	PRIM2
proliferation	PRKDC
proliferation	PRPS1
proliferation	PSIP1
proliferation	PSMC3IP
proliferation	PTTG1
proliferation	RACGAP1
proliferation	RAD1
proliferation	RAD21
proliferation	RAD50
proliferation	RAD51AP1
proliferation	RAD51C
proliferation	RAN
proliferation	RANBP1
proliferation	RBBP7
proliferation	RFC1
proliferation	RFC2
proliferation	RFC3
proliferation	RNASEH2A
proliferation	RPA1
proliferation	RPA2
proliferation	RPA3
proliferation	RRM2
proliferation	SHMT1
proliferation	SLBP
proliferation	SMC1A
proliferation	SMC3
proliferation	SMC4
proliferation	SMC6
proliferation	SNRPB
proliferation	SPAG5
proliferation	SPC24
proliferation	SPC25
proliferation	SRSF1
proliferation	SRSF2
proliferation	SSRP1
proliferation	STAG1
proliferation	STMN1
proliferation	SUV39H1
proliferation	SYNCRIP
proliferation	TACC3
proliferation	TBRG4
proliferation	TCF19
proliferation	TFRC
proliferation	TIMELESS
proliferation	TIPIN
proliferation	TK1
proliferation	TMPO
proliferation	TOP2A
proliferation	TP53
proliferation	TRA2B
proliferation	TRIP13
proliferation	TUBB
proliferation	TUBG1
proliferation	UBE2S
proliferation	UBE2T
proliferation	UBR7
proliferation	UNG
proliferation	USP1
proliferation	WDR90
proliferation	WEE1
proliferation	XPO1
proliferation	XRCC6
proliferation	ZW10
matrix_maturation	AGT
matrix_maturation	ANTXR1
matrix_maturation	ATP7A
matrix_maturation	COL1A2
matrix_maturation	COL3A1
matrix_maturation	COL6A1
matrix_maturation	COL8A1
matrix_maturation	COL8A2
matrix_maturation	DAG1
matrix_maturation	EFEMP2
matrix_maturation	ELN
matrix_maturation	EMILIN1
matrix_maturation	FBLN5
matrix_maturation	FKBP10
matrix_maturation	GAS6
matrix_maturation	GPM6B
matrix_maturation	HAPLN2
matrix_maturation	HAS1
matrix_maturation	HAS2
matrix_maturation	HAS3
matrix_maturation	IHH
matrix_maturation	LOX
matrix_maturation	LTBP4
matrix_maturation	MFAP4
matrix_maturation	MIR145
matrix_maturation	MIR18A
matrix_maturation	MIR19A
matrix_maturation	MIR19B1
matrix_maturation	MIR27B
matrix_maturation	MIR29B1
matrix_maturation	MIR483
matrix_maturation	MIR9-1
matrix_maturation	MIR98
matrix_maturation	MYH11
matrix_maturation	NOTCH1
matrix_maturation	NTN4
matrix_maturation	PLOD3
matrix_maturation	PPARG
matrix_maturation	PRICKLE1
matrix_maturation	PXDN
matrix_maturation	PXDNL
matrix_maturation	QSOX1
matrix_maturation	RAMP2
matrix_maturation	RGCC
matrix_maturation	SMAD3
matrix_maturation	SMAD4
matrix_maturation	SMPD3
matrix_maturation	SOX9
matrix_maturation	TGFB1
matrix_maturation	TGFBR1
matrix_maturation	TGFBR3
matrix_maturation	THSD4
matrix_maturation	TIE1
matrix_maturation	TNXB
